id,label
n37,"Lusher D, 2012, Soc Networks, V34, P410, Doi 10.1016/j.socnet.2012.01.004"
n38,"Mehra A., 2014, Res Sociology Org, V40"
n39,"Newman Mej, 2005, Soc Networks, V27, P39, Doi 10.1016/j.socnet.2004.11.009"
n40,"Carlan Na, 2012, Work, V42, P223, Doi 10.3233/wor-2012-1345"
n41,"Wambeke Bw, 2012, J Constr Eng M, V138, P1192, Doi 10.1061/(asce)co.1943-7862.0000524"
n42,"Moreno J., 1960, Sociometry Reader"
n43,"Bonacich P, 1987, Am J Sociol, V92, P1170, Doi 10.1086/228631"
n44,"Martchouk M, 2011, J Transp Eng-asce, V137, P697, Doi 10.1061/(asce)te.1943-5436.0000253"
n45,"Asante S, 1992, Transport Sci, V30, P112"
n46,"Hanneman Ra, 2005, Intro Social Network"
n47,"Asce, 2013, 2013 Rep Card Am Inf"
n48,"Alhajj R., 2014, Ency Social Network, P87"
n49,"Borgatti S.p., 2013, Anal Social Networks"
n50,"Sasovova Z, 2010, Admin Sci Quart, V55, P639"
n51,"Chinowsky P, 2008, J Constr Eng M Asce, V134, P804, Doi 10.1061/(asce)0733-9364(2008)134:10(804)"
n52,"Antipova A, 2012, J Transp Geogr, V24, P404, Doi 10.1016/j.jtrangeo.2012.04.015"
n53,"Chen A, 2013, J Adv Transport, V47, P79, Doi 10.1002/atr.216"
n54,"[anonymous], Corsim"
n55,"Butts Ct, 2001, Soc Networks, V23, P31, Doi 10.1016/s0378-8733(01)00030-2"
n56,"Friedman Sr, 1997, Am J Public Health, V87, P1289, Doi 10.2105/ajph.87.8.1289"
n57,"Pow J, 2012, J Clin Nurs, V21, P2772, Doi 10.1111/j.1365-2702.2011.04036.x"
n58,"Wang M., 2013, Int J Intelligent Tr, V11, P76"
n59,"Friedkin Ne, 2011, Soc Networks, V33, P88, Doi 10.1016/j.socnet.2010.11.004"
n60,"Loosemore M., 1998, Eng Construction Arc, V5, P315, Doi 10.1046/j.1365-232x.1998.54039.x"
n61,"Goh S., 2014, Public Lib Sci, V9, P1"
n62,"Vaisey S, 2010, Soc Forces, V88, P1595"
n63,"Ahmed K, 2013, J Transp Eng-asce, V139, P8, Doi 10.1061/(asce)te.1943-5436.0000465"
n64,"Diestel R., 2014, Graph Theory"
n65,"Barabasi Al, 1999, Science, V286, P509, Doi 10.1126/science.286.5439.509"
n66,"Sisiopiku Vp, 2007, J Urban Plan D-asce, V133, P51, Doi 10.1061/(asce)0733-9488(2007)133:1(51)"
n67,"De Stefano D, 2011, Qual Quant, V45, P1091, Doi 10.1007/s11135-011-9493-2"
n68,"Chootinan P, 2011, Transport Res B-meth, V45, P1680, Doi 10.1016/j.trb.2011.07.001"
n69,"Schoen Mw, 2014, Soc Sci Med, V123, P90, Doi 10.1016/j.socscimed.2014.10.057"
n70,"Chen Db, 2012, Physica A, V391, P1777, Doi 10.1016/j.physa.2011.09.017"
n71,"Green N, 2007, Urban Stud, V44, P2077, Doi 10.1080/00420980701518941"
n72,"Rubulotta E, 2013, J Urban Plan D-asce, V139, P115, Doi 10.1061/(asce)up.1943-5444.0000140"
n73,"Levy Ji, 2010, Environ Health-glob, V9, Doi 10.1186/1476-069x-9-65"
n74,"Park H, 2011, J Constr Eng M Asce, V137, P344, Doi 10.1061/(asce)co.1943-7862.0000301"
n75,"Costenbader E, 2003, Soc Networks, V25, P283, Doi 10.1016/s0378-8733(03)00012-1"
n76,"Rogers E. M., 2003, Diffusion Innovation"
n77,"Stokman F., 1985, Networks Corporate P, P1"
n78,"Zheng Zd, 2010, Accident Anal Prev, V42, P626, Doi 10.1016/j.aap.2009.10.009"
n79,"Cross R., 2004, Harvard Business Rev"
n80,"Rodan S., 2011, J Soc Struct, V12, P103"
n81,"Pulugurtha Ss, 2010, J Transp Eng-asce, V136, P903, Doi 10.1061/(asce)te.1943-5436.0000156"
n82,"Newman M., 2005, Math Networks"
n83,"Borgatti S. P., 2002, Netdraw Graph Visual"
n84,"Gloor Pa, 2017, Comput Hum Behav, V71, P343, Doi 10.1016/j.chb.2017.02.017"
n85,"Kahn Wa, 1990, Acad Manage J, V33, P692, Doi 10.2307/256287"
n86,"Barsade Sg, 2007, Acad Manage Perspect, V21, P36"
n87,"Oldroyd Jb, 2012, Acad Manage Rev, V37, P396, Doi 10.5465/amr.2010.0403"
n88,"Maertz Cp, 2004, J Manage, V30, P667, Doi 10.1016/j.jm.2004.04.001"
n89,"Oreilly Ca, 1991, Acad Manage J, V34, P487"
n90,"Davis Jp, 2011, Admin Sci Quart, V56, P159, Doi 10.1177/0001839211428131"
n91,"Pang B, 2002, Proceedings Of The 2002 Conference On Empirical Methods In Natural Language Processing, P79"
n92,"Brawley Am, 2016, Comput Hum Behav, V54, P531, Doi 10.1016/j.chb.2015.08.031"
n93,"Griffeth Rw, 2000, J Manage, V26, P463, Doi 10.1177/014920630002600304"
n94,"Soltis Sm, 2013, Hum Resour Manage-us, V52, P561, Doi 10.1002/hrm.21542"
n95,"Holtom Bc, 2008, Acad Manag Ann, V2, P231, Doi 10.1080/19416520802211552"
n96,"Brickley Ja, 2003, J Account Econ, V36, P227, Doi 10.1016/j.jacceco.2003.09.003"
n97,"Merten F, 2010, Procd Soc Behv, V2, P6457, Doi 10.1016/j.sbspro.2010.04.055"
n98,"Chen Lh, 2008, Comput Hum Behav, V24, P105, Doi 10.1016/j.chb.2007.01.012"
n99,"Gloor P. A., 2014, Measuring Team Creat"
n100,"Bertelli Am, 2007, J Publ Adm Res Theor, V17, P235, Doi 10.1093/jopart/mul003"
n101,"Borgatti Sp, 2005, Soc Networks, V27, P107, Doi 10.1016/j.socnet.2005.01.004"
n102,"Trevor Co, 2001, Acad Manage J, V44, P621, Doi 10.2307/3069407"
n103,"Burris Er, 2008, J Appl Psychol, V93, P912, Doi 10.1037/0021-9010.93.4.912"
n104,"Lyness Ks, 2001, J Appl Psychol, V86, P1167, Doi 10.1037/0021-9010.86.6.1167"
n105,"Krackhardt D, 1986, J Appl Psychol, V71, P50, Doi 10.1037//0021-9010.71.1.50"
n106,"Sparrowe Rt, 2001, Acad Manage J, V44, P316, Doi 10.2307/3069458"
n107,"Dess Gg, 2001, Acad Manage Rev, V26, P446, Doi 10.2307/259187"
n108,"Horn P. W., 2001, Acad Manage J, V44, P975, Doi Doi 10.2307/3069441"
n109,"Selden S. C., 2000, Rev Public Pers Adm, V20, P63, Doi 10.1177/0734371x0002000206"
n110,"Thoresen Cj, 2003, Psychol Bull, V129, P914, Doi 10.1037/0033-2909.129.6.914"
n111,"Mitchell Tr, 2001, Acad Manage J, V44, P1102, Doi 10.2307/3069391"
n112,"Mossholder K. W., 2005, Acad Manage J, V48, P807"
n113,"Pennebaker J. W., 2013, Secret Life Pronouns"
n114,"Gloor P. A., 2006, Technical Reports"
n115,"Luthans F., 2002, J Management Dev, V21, P376, Doi Doi 10.1108/02621710210426864"
n116,"Sagie A, 2002, Appl Psychol-int Rev, V51, P67, Doi 10.1111/1464-0597.00079"
n117,"Feeley Th, 2000, J Appl Commun Res, V28, P262"
n118,"Hahn Mh, 2015, Comput Hum Behav, V42, P167, Doi 10.1016/j.chb.2013.10.026"
n119,"Shin Dh, 2014, Inform Technol Manag, V15, P291, Doi 10.1007/s10799-014-0191-3"
n120,"Lankau Mj, 2002, Acad Manage J, V45, P779, Doi 10.2307/3069311"
n121,"Cohen A., 2003, Multiple Commitments"
n122,"Lee T.w., 1999, J Managerial Issues, V11, P493"
n123,"Allen Tj, 2016, J Small Bus Enterp D, V23, P636, Doi 10.1108/jsbed-08-2015-0110"
n124,"Battistoni E, 2014, Learn Individ Differ, V34, P63, Doi 10.1016/j.lindif.2014.05.007"
n125,"Borgatti Sp, 2005, Soc Networks, V27, P55, Doi 10.1016/j.socnet.2004.11.008"
n126,"Feeley Th, 1997, Hum Commun Res, V23, P370, Doi 10.1111/j.1468-2958.1997.tb00401.x"
n127,"Pelled Lh, 1999, J Manage, V25, P875, Doi 10.1177/014920639902500605"
n128,"Sliwka D, 2007, Manage Sci, V53, P1675, Doi 10.1287/mnsc.1070.0728"
n129,"Whitelaw C., 2005, P 14 Acm Int C Inf K, P625, Doi Doi 10.1145/1099554.1099714"
n130,"Sias Pm, 1998, Western J Comm, V62, P273"
n131,"Porter Cm, 2016, Pers Psychol, V69, P635, Doi 10.1111/peps.12121"
n132,"Gloor Pa, 2014, Mit Sloan Manage Rev, V55, P23"
n133,"Moynihan Dp, 2008, J Publ Adm Res Theor, V18, P205, Doi 10.1093/jopart/mum013"
n134,"Egan T. M., 2004, Human Resource Dev Q, V15, P279, Doi Doi 10.1002/hrdq.1104"
n135,"Lee Tw, 1994, Acad Manage Rev, V19, P51, Doi 10.5465/amr.1994.9410122008"
n136,"Shih Sp, 2011, Comput Hum Behav, V27, P2301, Doi 10.1016/j.chb.2011.07.009"
n137,"Emirbayer M, 1994, Am J Sociol, V99, P1411, Doi 10.1086/230450"
n138,"Lee Tw, 1999, Acad Manage J, V42, P450, Doi 10.2307/257015"
n139,"Kidane Y. H., 2007, Computational & Mathematical Organization Theory, V13, P17, Doi 10.1007/s10588-006-9006-3"
n140,"Villanova P, 1994, Pers Psychol, V47, P73, Doi 10.1111/j.1744-6570.1994.tb02410.x"
n141,"Maertz Jr C. P., 1998, Int Rev Ind Org Psyc, P49"
n142,"Nahapiet J, 1998, Acad Manage Rev, V23, P242, Doi 10.2307/259373"
n143,"Abrams D, 1998, Pers Soc Psychol B, V24, P1027, Doi 10.1177/01461672982410001"
n144,"Bronnimann L, 2014, Thesis"
n145,"Mowday R. T., 2013, Employee Org Linkage"
n146,"Alves Mp, 2017, Tpm-test Psychom Met, V24, P23, Doi 10.4473/tpm24.1.2"
n147,"Wageman R, 1997, J Organ Behav, V18, P139, Doi 10.1002/(sici)1099-1379(199703)18:2<139::aid-job791>3.3.co;2-i"
n148,"Borgatti Sp, 2003, Dynamic Social Network Modeling And Analysis, P241"
n149,"Rosenbaum Me, 1980, J Pers Soc Psychol, V39, P626, Doi 10.1037//0022-3514.39.4.626"
n150,"Bossenz H., 2014, European J Work Org, V23, P456, Doi [10.1080/1359432x.2012.748189, Doi 10.1080/1359432x.2012.748189]"
n151,"Burke Mj, 1999, Organ Res Methods, V2, P49, Doi 10.1177/109442819921004"
n152,"Knoke D., 2008, Social Networks Anal"
n153,"Van Der Vegt G. S., 2002, J Managerial Psychol, V17, P50, Doi Doi 10.1108/02683940210415924"
n154,"Van Vijfeijken H., 2002, European J Work Org, V11, P363, Doi [10.1080/13594320244000193, Doi 10.1080/13594320244000193]"
n155,"James Lr, 1982, J Appl Psychol, V67, P219, Doi 10.1037/0021-9010.67.2.219"
n156,"Ulich E., 1996, Hdb Work Group Psych, P247"
n157,"Guzzo Ra, 1996, Annu Rev Psychol, V47, P307, Doi 10.1146/annurev.psych.47.1.307"
n158,"Borgatti S. P., 2006, Computational & Mathematical Organization Theory, V12, P21, Doi 10.1007/s10588-006-7084-x"
n159,"Kilduff M., 2003, Social Networks Org"
n160,"Chan D, 1998, J Appl Psychol, V83, P234, Doi 10.1037/0021-9010.83.2.234"
n161,"Wageman R, 2001, App Soc Res, P197"
n162,"Freeman Lc, 1979, Soc Networks, V1, P215, Doi 10.1016/0378-8733(78)90021-7"
n163,"Van Den Beukel Al, 2002, Pers Rev, V31, P482, Doi 10.1108/00483480210430382"
n164,"Wageman R, 1995, Admin Sci Quart, V40, P145, Doi 10.2307/2393703"
n165,"Comeau Dj, 2005, Pers Rev, V34, P310, Doi 10.1108/00483480510591453"
n166,"Kozlowski S. W. J., 2000, Multilevel Theory Re, P3"
n167,"Cordery J. L., 1996, Hdb Work Group Psych, P225"
n168,"Borgatti Sp, 2009, J Supply Chain Manag, V45, P5, Doi 10.1111/j.1745-493x.2009.03166.x"
n169,"Savoie A., 1995, Psychol Trav Organ, V1, P116"
n170,"Van Der Vegt Gs, 2001, Pers Psychol, V54, P51"
n171,"Alves Mp, 2013, Procd Soc Behv, V84, P1084, Doi 10.1016/j.sbspro.2013.06.704"
n172,"Brashears Me, 2015, Soc Networks, V41, P113, Doi 10.1016/j.socnet.2014.11.003"
n173,"Deutsch M, 1949, Hum Relat, V2, P129, Doi 10.1177/001872674900200204"
n174,"Polley D., 1994, Adv Interdisciplinar, V1, P1"
n175,"Hlebec V, 2001, Soc Networks, V23, P125, Doi 10.1016/s0378-8733(01)00037-5"
n176,"Borgatti S. P., 2002, Ucinet Windows Softw"
n177,"Mcgrath J.e., 1984, Groups Interaction P"
n178,"Thompson J.d., 1967, Org Action"
n179,"Borgatti Sp, 2009, Science, V323, P892, Doi 10.1126/science.1165821"
n180,"Henttonen K, 2010, J Eng Technol Manage, V27, P74, Doi 10.1016/j.jengtecman.2010.03.005"
n181,"Van Der Vegt G, 1999, J Soc Psychol, V139, P202"
n182,"Cohen Sg, 1997, J Manage, V23, P239, Doi 10.1177/014920639702300303"
n183,"Van Der Vegt Gs, 2005, J Manage, V31, P73, Doi 10.1177/0149206304271382"
n184,"Stiller J, 2007, Soc Networks, V29, P93, Doi 10.1016/j.socnet.2006.04.001"
n185,"Cannon-bowers Ja, 1998, Hum Factors, V40, P92, Doi 10.1518/001872098779480550"
n186,"Vandeven Ah, 1976, Am Sociol Rev, V41, P322"
n187,"Van Vijfeijken H, 2006, Pers Rev, V35, P98, Doi 10.1108/00483480610636812"
n188,"Wheelan S. A., 1999, Creating Effective T"
n189,"Cole Ms, 2011, Organ Res Methods, V14, P718, Doi 10.1177/1094428110389078"
n190,"Bliese P. D., 2000, Multilevel Theory Re, P349"
n191,"Cordery Jl, 1989, Pers Rev, V18, P13, Doi 10.1108/eum0000000000772"
n192,"Katz N, 2004, Small Gr Res, V35, P307, Doi 10.1177/1046496404264941"
n193,"Brewer Dd, 1999, Soc Networks, V21, P361, Doi 10.1016/s0378-8733(99)00018-0"
n194,"Burke Mj, 2002, Organ Res Methods, V5, P159, Doi 10.1177/1094428102005002002"
n195,"Campion Ma, 1996, Pers Psychol, V49, P429, Doi 10.1111/j.1744-6570.1996.tb01806.x"
n196,"Saavedra R, 1993, J Appl Psychol, V78, P61, Doi 10.1037//0021-9010.78.1.61"
n197,"Shaw Jd, 2000, J Manage, V26, P259, Doi 10.1177/014920630002600205"
n198,"Campion Ma, 1993, Pers Psychol, V46, P823, Doi 10.1111/j.1744-6570.1993.tb01571.x"
n199,"Sexton Carol, 1994, J Organ Change Manag, V7, P45, Doi 10.1108/09534819410056122"
n200,"Allen J. A., 2004, J Occupational Org P, V77, P439, Doi Doi 10.1348/0963179042596469"
n201,"Stevens J. P., 2009, Appl Multivariate St"
n202,"Van Der Vegt G, 2000, J Manage, V26, P633, Doi 10.1016/s0149-2063(00)00050-7"
n203,"Volpe Ce, 1996, Hum Factors, V38, P87, Doi 10.1518/001872096778940741"
n204,"Uhl-bien M, 1998, Acad Manage J, V41, P340, Doi 10.2307/256912"
n205,"Dunphy D, 1996, Hum Relat, V49, P677, Doi 10.1177/001872679604900507"
n206,"Lebreton Jm, 2008, Organ Res Methods, V11, P815, Doi 10.1177/1094428106296642"
n207,"Yeh Yj, 2005, Soc Behav Personal, V33, P391, Doi 10.2224/sbp.2005.33.4.391"
n208,"Beersma B, 2003, Acad Manage J, V46, P572"
n209,"Lanz M., 2015, Tpm Testing Psychome, V22, P169, Doi [10.4473/tpm22.2.1, Doi 10.4473/tpm22.2.1]"
n210,"Cartwright D., 1968, Group Dynamics Res T"
n211,"Nooraie Ry, 2017, Bmc Health Serv Res, V17, Doi 10.1186/s12913-017-2067-9"
n212,"Haggman-laitila A, 2016, Nurs Educ Today, V43, P50, Doi 10.1016/j.nedt.2016.04.023"
n213,"Traynor R, 2015, Evid Policy, V11, P99, Doi 10.1332/174426414x14043807774174"
n214,"Brownson Rc, 2014, Am J Prev Med, V46, P49, Doi 10.1016/j.amepre.2013.08.013"
n215,"Gubbins C, 2014, J Manage Inquiry, V23, P162, Doi 10.1177/1056492613499203"
n216,"Revere D, 2007, J Biomed Inform, V40, P410, Doi 10.1016/j.jbi.2006.12.008"
n217,"Valente Tw, 2012, Science, V337, P49, Doi 10.1126/science.1217330"
n218,"Friedkin Ne, 1999, Adv Group, V16, P1"
n219,"Brownson R, 2009, Annu Rev Publ Health, V30, P201"
n220,"Pope C, 2000, Brit Med J, V320, P114, Doi 10.1136/bmj.320.7227.114"
n221,"Young T, 2014, Plos One, V9, Doi 10.1371/journal.pone.0086706"
n222,"Guinea J., 2003, Library Hi Tech, V21, P325, Doi 10.1108/07378830310494508"
n223,"Soubhi H, 2010, Ann Fam Med, V8, P170, Doi 10.1370/afm.1056"
n224,"Jippes E, 2010, Soc Sci Med, V70, P1509, Doi 10.1016/j.socscimed.2009.12.035"
n225,"Estabrooks Ca, 2006, J Contin Educ Health, V26, P25, Doi 10.1002/chp.48"
n226,"Legare F, 2008, Patient Educ Couns, V73, P526, Doi 10.1016/j.pec.2008.07.018"
n227,"Ritchie J, 1994, Anal Qualitative Dat, P173, Doi [doi 10.4324/9780203413081, Doi 10.4324/9780203413081_chapter_9]"
n228,"Kossinets G, 2006, Soc Networks, V28, P247, Doi 10.1016/j.socnet.2005.07.002"
n229,"Ciliska D, 2012, Intro Evidence Based"
n230,"Orton L, 2011, Plos One, V6, Doi 10.1371/journal.pone.0021704"
n231,"Valente Tw, 1999, Ann Am Acad Polit Ss, V566, P55, Doi 10.1177/0002716299566001005"
n232,"Yousefi-nooraie R, 2007, J Eval Clin Pract, V13, P564, Doi 10.1111/j.1365-2753.2007.00755.x"
n233,"Patton M., 1990, Qualitative Evaluati, V2, P169"
n234,"Scott Sd, 2012, Implement Sci, V7, Doi 10.1186/1748-5908-7-70"
n235,"Stetler Cb, 2014, Worldv Evid-based Nu, V11, P219, Doi 10.1111/wvn.12044"
n236,"Nembhard Im, 2006, J Organ Behav, V27, P941, Doi 10.1002/job.413"
n237,"Valente Tw, 2007, Health Educ Behav, V34, P881, Doi 10.1177/1090198106297855"
n238,"Champagne F, 2014, Implement Sci, V9, Doi 10.1186/1748-5908-9-53"
n239,"Yousefi-nooraie R, 2015, Implement Sci, V10, Doi 10.1186/s13012-015-0355-5"
n240,"Neergaard H., 2005, Int J Entrepreneuria, V11, P338, Doi Doi 10.1108/13552550510614999"
n241,"Brownson Rc, 2012, Am J Prev Med, V43, P309, Doi 10.1016/j.amepre.2012.06.006"
n242,"Lincoln Y. S., 1985, Naturalistic Inquiry"
n243,"Cross R, 2002, Calif Manage Rev, V44, P25"
n244,"Armstrong R, 2011, Cochrane Db Syst Rev"
n245,"Borgatti Sp, 2003, Manage Sci, V49, P432, Doi 10.1287/mnsc.49.4.432.14428"
n246,"Yousefi-nooraie R, 2012, Bmc Health Serv Res, V12, Doi 10.1186/1472-6963-12-118"
n247,"Dobbins M, 2009, Implement Sci, V4, Doi 10.1186/1748-5908-4-61"
n248,"Peirson L, 2012, Bmc Public Health, V12, Doi 10.1186/1471-2458-12-137"
n249,"Blau P. M., 1964, Exchange Power Socia"
n250,"Creswell J., 2011, Designing Conducting"
n251,"Maxwell Ml, 2007, Aust Health Rev, V31, P422"
n252,"Fattore G, 2009, Health Policy, V92, P141, Doi 10.1016/j.healthpol.2009.03.005"
n253,"Valente Tw, 2007, Am J Public Health, V97, P880, Doi 10.2105/ajph.2005.063644"
n254,"Ibarra H, 1993, Admin Sci Quart, V38, P277, Doi 10.2307/2393414"
n255,"Wenger E., 2002, Cultivating Communit"
n256,"Flodgren G, 2011, Cochrane Db Syst Rev, Doi [10.1002/14651858.cd000125.pub4, 10.1002/14651858.cd000125]"
n257,"Best Allan, 2009, J Health Organ Manag, V23, P627"
n258,"Yousefi-nooraie R, 2014, Implement Sci, V9, Doi 10.1186/1748-5908-9-29"
n259,"Wegner Dm, 1991, J Pers Soc Psychol, V61, P923, Doi 10.1037//0022-3514.61.6.923"
n260,"Ahuja G, 2012, Organ Sci, V23, P434, Doi 10.1287/orsc.1110.0695"
n261,"Elliott Mn, 2008, Health Serv Res, V43, P833, Doi 10.1111/j.1475-6773.2007.00820.x"
n262,"Szreter S, 2004, Int J Epidemiol, V33, P650, Doi 10.1093/ije/dyh013"
n263,"Hildreth P M., 2004, Knowledge Networks I"
n264,"Yin R. K., 2008, Case Study Res Desig"
n265,"Damschroder Lj, 2009, Implement Sci, V4, Doi 10.1186/1748-5908-4-50"
n266,"Fujimoto K, 2009, J Community Psychol, V37, P830, Doi 10.1002/jcop.20333"
n267,"Valente Tw, 2015, Plos One, V10, Doi 10.1371/journal.pone.0131712"
n268,"Dubini P, 1991, J Bus Venturing, V6, P305, Doi 10.1016/0883-9026(91)90021-5"
n269,"Greenhalgh T, 2004, Milbank Q, V82, P581, Doi 10.1111/j.0887-378x.2004.00325.x"
n270,"Helfrich Cd, 2007, Med Care Res Rev, V64, P279, Doi 10.1177/1077558707299887"
n271,"Perry-smith Je, 2003, Acad Manage Rev, V28, P89"
n272,"Marsden Pv, 1993, Sociol Method Res, V22, P127, Doi 10.1177/0049124193022001006"
n273,"Luke Da, 2007, Annu Rev Publ Health, V28, P69, Doi 10.1146/annurev.publhealth.28.021406.144132"
n274,"Mcaneney H, 2010, Soc Sci Med, V70, P1492, Doi 10.1016/j.socscimed.2010.01.038"
n275,"Snijders Tab, 2010, Soc Networks, V32, P44, Doi 10.1016/j.socnet.2009.02.004"
n276,"Cheshire C, 2007, Soc Psychol Quart, V70, P82"
n277,"Hermans F, 2017, Plos One, V12, Doi 10.1371/journal.pone.0169634"
n278,"Smits R, 2002, Technol Forecast Soc, V69, P861, Doi 10.1016/s0040-1625(01)00181-0"
n279,"Messely L, 2013, J Rural Stud, V32, P400, Doi 10.1016/j.jrurstud.2013.09.002"
n280,"Rivera Wm, 2005, Enhancing Coordinati"
n281,"Wood Ba, 2014, Plos One, V9, Doi 10.1371/journal.pone.0105203"
n282,"Hermans F, 2013, Agr Syst, V115, P117, Doi 10.1016/j.agsy.2012.09.006"
n283,"Schut M, 2014, Energ Policy, V65, P631, Doi 10.1016/j.enpol.2013.09.007"
n284,"Esparcia J, 2014, J Rural Stud, V34, P1, Doi 10.1016/j.jrurstud.2013.12.004"
n285,"Ekboir J, 2008, Agr Syst, V98, P1, Doi 10.1016/j.agsy.2008.03.004"
n286,"Muchunguzi P, 2016, Innovation Platforms, P42"
n287,"Spielman Dj, 2011, Agr Hum Values, V28, P195, Doi 10.1007/s10460-010-9273-y"
n288,"Hunter Dr, 2008, J Am Stat Assoc, V103, P248, Doi 10.1198/016214507000000446"
n289,"Hermans Flp, 2011, Reg Environ Change, V11, P805, Doi 10.1007/s10113-011-0216-y"
n290,"Kemp R, 1998, Technol Anal Strateg, V10, P175, Doi 10.1080/09537329808524310"
n291,"Iita, 2014, Strat Centr Afr Hub"
n292,"Hermans F, 2016, Ecol Econ, V130, P285, Doi 10.1016/j.ecolecon.2016.07.011"
n293,"Uvin P, 2000, World Dev, V28, P1409, Doi 10.1016/s0305-750x(00)00037-1"
n294,"Van Mierlo B, 2014, Outlook Agr, V43, P157, Doi 10.5367/oa.2014.0179"
n295,"Sumberg J, 2013, Outlook Agr, V42, P233, Doi 10.5367/oa.2013.0144"
n296,"Schut M, 2016, Expt Agr"
n297,"Schut M, 2014, Sci Publ Policy, V41, P207, Doi 10.1093/scipol/sct048"
n298,"Oecd And Eurostat, 2005, Osl Man Guid Coll In, P163"
n299,"Hall A, 2003, Agr Syst, V78, P213, Doi 10.1016/s0308-521x(03)00127-6"
n300,"Boloquy M, 2014, Citizens Perceptions"
n301,"Klein Woolthuis R., 2005, Technovation, V25, P609, Doi Doi 10.1016/j.techn0vati0n.2003.11.002"
n302,"Vanlauwe B, 2013, Agro Ecological Inte"
n303,"Faysse N, 2006, Nat Resour Forum, V30, P219, Doi 10.1111/j.1477-8947.2006.00112.x"
n304,"Spielman D, 2010, Agr Hum Values, P1"
n305,"Thornton P. H., 2012, I Logics Perspective"
n306,"Schot J, 2008, Technol Anal Strateg, V20, P537, Doi 10.1080/09537320802292651"
n307,"Goodreau Sm, 2007, Soc Networks, V29, P231, Doi 10.1016/j.socnet.2006.08.001"
n308,"Nooteboom B, 2007, Res Policy, V36, P1016, Doi 10.1016/j.respol.2007.04.003"
n309,"Isaac Me, 2012, Agr Syst, V109, P9, Doi 10.1016/j.agsy.2012.01.011"
n310,"Leeuwis C, 2000, Dev Change, V31, P931, Doi 10.1111/1467-7660.00184"
n311,"Harris Jenine, 2014, Intro Exponential Ra"
